Total Household Income,Total Food Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,Fashion Spendings,Housing Expenditure,Medical Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Farming and Gardening expenses,Miscellaneous and Special Occasions Expenditure,Sex,Age,Marital Status,Total Number of Family members,Savings
115450,37548.5,0,0,0,400,6300,1100,1200,90,0,0,1782,1,76,1,2,67029.5
123953,67504.0,1660,715,0,1800,9810,290,3840,570,375,2500,4434,1,34,1,3,30455.0
256780,122217.0,10420,1388,620,1370,13140,0,2400,720,2700,20655,8966,1,49,1,7,72184.0
262768,122363.5,2225,1755,910,1335,11220,50,3120,900,520,27745,5952,0,99,0,8,84672.5
114625,69385.0,2590,270,6730,1330,9240,0,1140,690,600,21710,3018,1,42,1,4,-2078.0
91700,66666.0,0,276,0,570,6720,130,480,360,0,26480,2262,1,28,1,4,-12244.0
479690,91392.5,4050,90,210,1710,11622,70,1680,900,0,19675,3198,1,61,1,6,345092.5
127510,78851.0,565,315,880,810,7908,210,1080,660,0,25995,3336,0,57,2,5,6900.0
85513,67127.5,730,0,785,1730,6420,50,3480,450,0,21400,3180,0,67,1,5,-19839.5
150600,95456.0,4450,270,0,1240,9300,160,1560,300,530,30100,2730,1,42,1,8,4504.0
123884,94713.5,5580,270,0,1360,8220,24,840,360,500,25455,1830,1,86,1,7,-15268.5
65370,27110.0,0,546,0,450,4560,35,900,300,0,17950,1638,1,41,0,1,11881.0
102630,101324.0,5580,655,0,1770,7200,109,1920,1440,300,26175,2136,1,34,1,8,-45979.0
85980,47017.0,0,0,260,880,4776,330,2280,0,0,19950,1872,1,65,1,2,8615.0
171025,82643.0,1860,1320,0,1410,6360,1088,2400,510,870,35150,3816,1,64,1,6,33598.0
